name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	115500	113385	2115	0	0	0	8980	8960	8980	637	485	8755	1747	1362	205	4710	4680	8890	8760	6710	8950	t < 800 ms	97622	84	800 ms < t < 1200 ms	2322	2	t > 1200 ms	13441	11	failed	2115	1	357	351	7
Home page	16500	16227	273	0	0	8580	8960	6930	8960	666	530	8747	1743	1405	122	4700	4670	8910	8720	6730	8950	t < 800 ms	13740	83	800 ms < t < 1200 ms	310	1	t > 1200 ms	2177	13	failed	273	1	51	50	1
View the list of products	16500	16201	299	0	0	8580	8950	6930	8950	629	479	8762	1726	1339	0	4710	4670	8900	8760	6700	8940	t < 800 ms	13928	84	800 ms < t < 1200 ms	319	1	t > 1200 ms	1954	11	failed	299	1	51	50	1
View a product	82500	80957	1543	0	0	0	8980	8960	8980	632	477	8755	1752	1358	237	4710	4680	8880	8760	6700	8930	t < 800 ms	69954	84	800 ms < t < 1200 ms	1693	2	t > 1200 ms	9310	11	failed	1543	1	255	250	5
