name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	106949	87788	19161	0	0	10	19550	15350	19550	1869	364	8767	3488	1371	1159	8980	2870	9190	9180	6770	9340	t < 800 ms	81186	75	800 ms < t < 1200 ms	506	0	t > 1200 ms	6096	5	failed	19161	17	439	360	79
Home page	11500	9326	2174	0	0	10	15350	15350	9500	2103	555	8742	3633	1767	1438	9050	6720	9340	9340	6800	9410	t < 800 ms	8408	73	800 ms < t < 1200 ms	53	0	t > 1200 ms	865	7	failed	2174	18	47	38	9
View the list of products	8000	6868	1132	0	0	90	9350	7040	9350	1505	295	8849	3228	1289	856	8960	1620	9170	9150	6780	9260	t < 800 ms	6497	81	800 ms < t < 1200 ms	19	0	t > 1200 ms	352	4	failed	1132	14	33	28	5
View a product	70395	58140	12255	0	0	10	19540	10780	19540	1801	321	8824	3446	1273	890	8970	2700	9160	9150	6770	9260	t < 800 ms	54163	76	800 ms < t < 1200 ms	311	0	t > 1200 ms	3666	5	failed	12255	17	289	239	50
Add a product in cart	9049	7161	1888	0	0	140	19550	7080	19550	2229	489	8832	3678	1549	804	8970	4700	9140	9150	6770	9250	t < 800 ms	6411	70	800 ms < t < 1200 ms	58	0	t > 1200 ms	692	7	failed	1888	20	37	29	8
Add a product in cart Redirect 1	7161	5868	1293	0	0	190	9410	7070	9410	1953	428	8875	3501	1435	260	8940	4640	9120	9100	6770	9210	t < 800 ms	5296	73	800 ms < t < 1200 ms	65	0	t > 1200 ms	507	7	failed	1293	18	29	24	5
Search a random product by name	500	224	276	0	0	70	9530	6770	9530	3383	220	5950	4291	690	4273	9380	720	9400	9410	1950	9420	t < 800 ms	217	43	800 ms < t < 1200 ms	0	0	t > 1200 ms	7	1	failed	276	55	2	1	1
Comment a product	224	120	104	0	0	10	9390	3080	9390	3084	178	6436	4186	467	4064	9200	540	9260	9340	3070	9360	t < 800 ms	117	52	800 ms < t < 1200 ms	0	0	t > 1200 ms	3	1	failed	104	46	1	0	0
Comment a product Redirect 1	120	81	39	0	0	8840	9520	4910	9520	3119	266	9044	4187	960	89	9120	310	9150	9170	4820	9520	t < 800 ms	77	64	800 ms < t < 1200 ms	0	0	t > 1200 ms	4	3	failed	39	32	0	0	0
